Time,rh,mos,vocs,mos_sen
0,39.84637161,353.4694511,200,1.767347256
300,42.98000765,189.4339894,204.9078624,0.924483752
600,40.99914757,262.1373083,209.8104694,1.249400514
900,39.17812671,337.1350599,214.702571,1.570242304
1200,38.26158685,372.1494049,219.5789288,1.694832044
1500,41.64995417,313.0470992,224.434321,1.394827216
1800,39.3012969,408.5003907,229.2635483,1.781793895
2100,33.64061253,397.0549817,234.0614395,1.696370759
2400,35.40489215,369.0699022,238.8228568,1.545370938
2700,39.81064088,232.970198,243.5427016,0.956588707
3000,36.84572954,228.053125,248.2159198,0.918769131
3300,32.68317343,259.6219847,252.8375072,1.026833351
3600,33.37704055,475.600637,257.4025149,1.84769227
3900,29.81741176,370.0385416,261.9060545,1.412867459
4200,32.24071484,525.5406986,266.3433035,1.973170309
4500,34.58357039,412.8304718,270.7095105,1.524994342
4800,26.86971599,441.5963638,275,1.605804959
5100,33.16354045,296.2260905,279.2101776,1.060943025
5400,31.16885172,332.2414666,283.335535,1.172607829
5700,24.73817144,503.585777,287.3716545,1.752385001
6000,30.55362465,559.4884085,291.3142144,1.9205668
6300,27.53980023,620.2857629,295.1589926,2.101530966
6600,23.17641252,384.5503822,298.9018723,1.286543906
6900,21.8587557,686.7679765,302.5388453,2.270015858
7200,20.5630748,599.6941112,306.0660172,1.95936196
7500,19.5278538,532.9446292,309.4796109,1.722067013
7800,21.44684382,465.6146696,312.7759711,1.488652303
8100,21.59773594,617.5518202,315.951568,1.954577482
8400,16.38920289,752.3744978,319.003001,2.358518557
8700,19.17361452,763.3399779,321.9270027,2.37115859
9000,20.09335726,712.9398771,324.7204418,2.195549726
9300,13.47132431,727.379961,327.3803272,2.221819396
9600,16.20609196,714.099028,329.9038106,2.164567383
9900,15.51057027,546.1084868,332.2881897,1.643478474
10200,8.816441734,865.0472999,334.5309112,2.585851623
10500,9.792222762,792.229976,336.6295737,2.353417637
10800,12.16983216,862.5606041,338.5819299,2.547568337
